name,enabled,site_name,search_term,location,is_remote,distance,hours_old,results_wanted,country_indeed,linkedin_fetch_description,google_search_term
"Partner Enablement and Onboarding (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Partner Enablement or Partner Onboarding,"Boulder, CO",,25,24,1500,USA,TRUE,
"Partner Enablement and Onboarding (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Partner Enablement or Partner Onboarding,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Partner Enablement and Onboarding (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Partner Enablement or Partner Onboarding,"Loveland, CO",,25,24,1500,USA,TRUE,
"Partner Enablement and Onboarding (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Partner Enablement or Partner Onboarding,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Partner Enablement and Onboarding (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Partner Enablement or Partner Onboarding,"Denver, CO",,25,24,1500,USA,TRUE,
"Partner Enablement and Onboarding (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Partner Enablement or Partner Onboarding,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Technical Program Manager (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Technical Program Manager,"Boulder, CO",,25,24,1500,USA,TRUE,
"Technical Program Manager (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Technical Program Manager,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Technical Program Manager (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Technical Program Manager,"Loveland, CO",,25,24,1500,USA,TRUE,
"Technical Program Manager (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Technical Program Manager,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Technical Program Manager (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Technical Program Manager,"Denver, CO",,25,24,1500,USA,TRUE,
"Technical Program Manager (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Technical Program Manager,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Technical Account Manager (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Technical Account Manager,"Boulder, CO",,25,24,1500,USA,TRUE,
"Technical Account Manager (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Technical Account Manager,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Technical Account Manager (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Technical Account Manager,"Loveland, CO",,25,24,1500,USA,TRUE,
"Technical Account Manager (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Technical Account Manager,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Technical Account Manager (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Technical Account Manager,"Denver, CO",,25,24,1500,USA,TRUE,
